max_depth,num_leaves,min_data_in_leaf,lambda_l2,subsample,colsample_bytree,min_gain_to_split,max_bin,mae_mean,mae_std,best_iter_mean,mae_upper
11,31,15,5,0.6,0.6,0.0,255,30.116438191009422,1.9701136859940367,1125,32.08655187700346
10,27,15,10,0.6,0.6,0.0,255,30.17725231596478,1.931704647585462,1120,32.10895696355024
11,27,15,10,0.6,0.6,0.0,255,30.220901171584984,1.8028343491154337,1129,32.02373552070042
10,31,15,5,0.6,0.6,0.0,255,30.266244948187204,1.9180254818984461,925,32.18427043008565
9,27,15,10,0.6,0.6,0.0,255,30.277108677536255,1.9619084092337655,1237,32.23901708677002
9,27,15,5,0.6,0.6,0.0,255,30.287671873478395,1.9742418761879001,1162,32.26191374966629
10,31,15,10,0.6,0.6,0.0,255,30.290700661363264,1.8961677182818584,961,32.18686837964512
11,31,15,10,0.6,0.6,0.0,255,30.335692267109074,1.7874635292538585,1011,32.12315579636293
11,27,15,5,0.6,0.6,0.0,255,30.339316039920693,1.8551720263777087,1046,32.194488066298405
9,31,15,5,0.6,0.6,0.0,255,30.351218742159496,1.9173415641617517,955,32.26856030632125
10,27,15,5,0.6,0.6,0.0,255,30.36577665676747,1.841778155771779,983,32.20755481253925
9,31,15,10,0.6,0.6,0.0,255,30.395483643330017,1.9304833060916957,851,32.32596694942171
11,27,20,5,0.6,0.6,0.0,255,30.413426311907205,1.7454212807661456,1111,32.158847592673354
11,31,20,10,0.6,0.6,0.0,255,30.565517952522242,1.7582421472408591,1120,32.3237600997631
10,31,20,10,0.6,0.6,0.0,255,30.56632370574593,1.8457445792560885,1049,32.41206828500202
11,31,20,5,0.6,0.6,0.0,255,30.575092893569934,1.730092657300659,1302,32.30518555087059
10,27,20,10,0.6,0.6,0.0,255,30.586607453709394,1.7712190982121456,982,32.35782655192154
10,27,20,5,0.6,0.6,0.0,255,30.589840692082777,1.769321242182483,1165,32.35916193426526
11,27,20,10,0.6,0.6,0.0,255,30.625856007201445,1.8713241447245723,1328,32.49718015192602
10,31,20,5,0.6,0.6,0.0,255,30.678312589360267,1.8116590473921113,862,32.48997163675238
9,31,20,10,0.6,0.6,0.0,255,30.690764621442163,1.8789134265599363,1047,32.569678048002096
9,27,20,5,0.6,0.6,0.0,255,30.69127079944227,1.8919786672928303,916,32.583249466735104
9,31,20,5,0.6,0.6,0.0,255,30.745460047118616,1.846016526378949,1013,32.591476573497566
9,27,20,10,0.6,0.6,0.0,255,30.75551338792595,1.7470001934042092,1055,32.50251358133016
